x_train,y_train
"[0.37618147448015116, 0.2911153119092627, 0.39886578449905474]",1.999999999999999
"[0.2911153119092627, 0.39886578449905474, 0.40075614366729667]",3.0
"[0.39886578449905474, 0.40075614366729667, 0.41965973534971635]",3.3
"[0.40075614366729667, 0.41965973534971635, 0.42533081285444224]",0.6
"[0.41965973534971635, 0.42533081285444224, 0.3742911153119092]",-1.7999999999999998
"[0.42533081285444224, 0.3742911153119092, 0.328922495274102]",-1.2
"[0.3742911153119092, 0.328922495274102, 0.3402646502835538]",-0.6
"[0.328922495274102, 0.3402646502835538, 0.3516068052930056]",-1.9000000000000008
"[0.3402646502835538, 0.3516068052930056, 0.32703213610586]",-1.6999999999999988
"[0.3516068052930056, 0.32703213610586, 0.330812854442344]",-1.300000000000001
"[0.32703213610586, 0.330812854442344, 0.3383742911153118]",0.0
"[0.330812854442344, 0.3383742911153118, 0.3629489603024574]",4.699999999999998
"[0.3383742911153118, 0.3629489603024574, 0.45179584120982974]",6.0
"[0.3629489603024574, 0.45179584120982974, 0.4763705103969753]",9.1
"[0.45179584120982974, 0.4763705103969753, 0.5349716446124763]",4.6000000000000005
"[0.4763705103969753, 0.5349716446124763, 0.4499054820415878]",1.999999999999999
"[0.5349716446124763, 0.4499054820415878, 0.40075614366729667]",0.10000000000000098
"[0.4499054820415878, 0.40075614366729667, 0.36483931947069936]",1.399999999999999
"[0.40075614366729667, 0.36483931947069936, 0.3894139886578449]",2.899999999999999
"[0.36483931947069936, 0.3894139886578449, 0.41776937618147436]",7.9
"[0.3894139886578449, 0.41776937618147436, 0.5122873345935727]",7.699999999999998
"[0.41776937618147436, 0.5122873345935727, 0.5085066162570887]",5.3999999999999995
"[0.5122873345935727, 0.5085066162570887, 0.4650283553875235]",3.3
"[0.5085066162570887, 0.4650283553875235, 0.42533081285444224]",0.7999999999999989
"[0.4650283553875235, 0.42533081285444224, 0.3780718336483931]",8.099999999999996
"[0.42533081285444224, 0.3780718336483931, 0.5160680529300565]",12.700000000000001
"[0.3780718336483931, 0.5160680529300565, 0.603024574669187]",8.099999999999996
"[0.5160680529300565, 0.603024574669187, 0.5160680529300565]",6.499999999999998
"[0.603024574669187, 0.5160680529300565, 0.4858223062381851]",8.5
"[0.5160680529300565, 0.4858223062381851, 0.5236294896030245]",8.299999999999999
"[0.4858223062381851, 0.5236294896030245, 0.5198487712665405]",8.4
"[0.5236294896030245, 0.5198487712665405, 0.5217391304347825]",11.300000000000004
"[0.5198487712665405, 0.5217391304347825, 0.5765595463137996]",7.400000000000001
"[0.5217391304347825, 0.5765595463137996, 0.5028355387523629]",6.800000000000002
"[0.5765595463137996, 0.5028355387523629, 0.49149338374291107]",6.499999999999998
"[0.5028355387523629, 0.49149338374291107, 0.4858223062381851]",10.2
"[0.49149338374291107, 0.4858223062381851, 0.5557655954631379]",10.499999999999996
"[0.4858223062381851, 0.5557655954631379, 0.5614366729678637]",10.9
"[0.5557655954631379, 0.5614366729678637, 0.5689981096408316]",10.400000000000002
"[0.5614366729678637, 0.5689981096408316, 0.5595463137996218]",8.600000000000001
"[0.5689981096408316, 0.5595463137996218, 0.5255198487712665]",7.699999999999998
"[0.5595463137996218, 0.5255198487712665, 0.5085066162570887]",7.099999999999999
"[0.5255198487712665, 0.5085066162570887, 0.4971644612476369]",8.899999999999999
"[0.5085066162570887, 0.4971644612476369, 0.5311909262759923]",8.4
"[0.4971644612476369, 0.5311909262759923, 0.5217391304347825]",9.8
"[0.5311909262759923, 0.5217391304347825, 0.54820415879017]",11.000000000000002
"[0.5217391304347825, 0.54820415879017, 0.5708884688090736]",11.799999999999997
"[0.54820415879017, 0.5708884688090736, 0.5860113421550093]",14.399999999999999
"[0.5708884688090736, 0.5860113421550093, 0.6351606805293004]",14.000000000000002
"[0.5860113421550093, 0.6351606805293004, 0.6275992438563326]",14.199999999999998
"[0.6351606805293004, 0.6275992438563326, 0.6313799621928164]",14.000000000000002
"[0.6275992438563326, 0.6313799621928164, 0.6275992438563326]",10.799999999999999
"[0.6313799621928164, 0.6275992438563326, 0.5671077504725897]",8.000000000000002
"[0.6275992438563326, 0.5671077504725897, 0.5141776937618147]",10.099999999999998
"[0.5671077504725897, 0.5141776937618147, 0.5538752362948959]",9.399999999999997
"[0.5141776937618147, 0.5538752362948959, 0.5406427221172021]",9.0
"[0.5538752362948959, 0.5406427221172021, 0.5330812854442343]",10.799999999999999
"[0.5406427221172021, 0.5330812854442343, 0.5671077504725897]",14.600000000000001
"[0.5330812854442343, 0.5671077504725897, 0.6389413988657844]",16.3
"[0.5671077504725897, 0.6389413988657844, 0.6710775047258978]",12.300000000000002
"[0.6389413988657844, 0.6710775047258978, 0.5954631379962192]",13.600000000000003
"[0.6710775047258978, 0.5954631379962192, 0.6200378071833648]",12.300000000000002
"[0.5954631379962192, 0.6200378071833648, 0.5954631379962192]",13.9
"[0.6200378071833648, 0.5954631379962192, 0.6257088846880906]",14.999999999999998
"[0.5954631379962192, 0.6257088846880906, 0.6465028355387522]",16.9
"[0.6257088846880906, 0.6465028355387522, 0.6824196597353496]",17.1
"[0.6465028355387522, 0.6824196597353496, 0.6862003780718335]",17.300000000000004
"[0.6824196597353496, 0.6862003780718335, 0.6899810964083175]",18.0
"[0.6862003780718335, 0.6899810964083175, 0.7032136105860112]",12.999999999999996
"[0.6899810964083175, 0.7032136105860112, 0.6086956521739129]",9.200000000000001
"[0.7032136105860112, 0.6086956521739129, 0.5368620037807182]",12.300000000000002
"[0.6086956521739129, 0.5368620037807182, 0.5954631379962192]",12.499999999999998
"[0.5368620037807182, 0.5954631379962192, 0.599243856332703]",14.800000000000002
"[0.5954631379962192, 0.599243856332703, 0.6427221172022684]",13.3
"[0.599243856332703, 0.6427221172022684, 0.6143667296786388]",14.000000000000002
"[0.6427221172022684, 0.6143667296786388, 0.6275992438563326]",15.199999999999996
"[0.6143667296786388, 0.6275992438563326, 0.6502835538752361]",16.7
"[0.6275992438563326, 0.6502835538752361, 0.6786389413988656]",15.7
"[0.6502835538752361, 0.6786389413988656, 0.659735349716446]",15.900000000000002
"[0.6786389413988656, 0.659735349716446, 0.66351606805293]",13.800000000000004
"[0.659735349716446, 0.66351606805293, 0.6238185255198487]",13.600000000000003
"[0.66351606805293, 0.6238185255198487, 0.6200378071833648]",14.199999999999998
"[0.6238185255198487, 0.6200378071833648, 0.6313799621928164]",16.7
"[0.6200378071833648, 0.6313799621928164, 0.6786389413988656]",16.8
"[0.6313799621928164, 0.6786389413988656, 0.6805293005671076]",16.7
"[0.6786389413988656, 0.6805293005671076, 0.6786389413988656]",16.9
"[0.6805293005671076, 0.6786389413988656, 0.6824196597353496]",15.900000000000002
"[0.6786389413988656, 0.6824196597353496, 0.66351606805293]",16.9
"[0.6824196597353496, 0.66351606805293, 0.6824196597353496]",13.600000000000003
"[0.66351606805293, 0.6824196597353496, 0.6200378071833648]",18.8
"[0.6824196597353496, 0.6200378071833648, 0.7183364839319469]",19.400000000000002
"[0.6200378071833648, 0.7183364839319469, 0.7296786389413987]",20.299999999999997
"[0.7183364839319469, 0.7296786389413987, 0.7466918714555764]",20.0
"[0.7296786389413987, 0.7466918714555764, 0.7410207939508505]",18.0
"[0.7466918714555764, 0.7410207939508505, 0.7032136105860112]",19.099999999999998
"[0.7410207939508505, 0.7032136105860112, 0.7240075614366728]",18.899999999999995
"[0.7032136105860112, 0.7240075614366728, 0.7202268431001888]",19.3
"[0.7240075614366728, 0.7202268431001888, 0.7277882797731567]",20.700000000000003
